,DATE,AvgTemp
885,6/4/2016,52.0
886,6/5/2016,52.0
887,6/6/2016,51.0
888,6/7/2016,52.0
889,6/8/2016,52.0
890,6/9/2016,53.0
891,6/10/2016,53.0
892,6/11/2016,47.0
893,6/12/2016,49.0
894,6/13/2016,49.0
895,6/14/2016,48.0
896,6/15/2016,48.0
897,6/16/2016,52.0
898,6/17/2016,53.0
899,6/18/2016,51.0
900,6/19/2016,51.0
901,6/20/2016,49.0
902,6/21/2016,48.0
903,6/22/2016,48.0
904,6/23/2016,49.0
905,6/24/2016,50.0
906,6/25/2016,50.0
907,6/26/2016,48.0
908,6/27/2016,45.0
909,6/28/2016,46.0
910,6/29/2016,46.0
911,6/30/2016,51.0
912,7/1/2016,48.0
913,7/2/2016,53.0
914,7/3/2016,56.0
915,7/4/2016,51.0
916,7/5/2016,47.0
917,7/6/2016,47.0
918,7/7/2016,52.0
919,7/8/2016,52.0
920,7/9/2016,49.0
921,7/10/2016,45.0
922,7/11/2016,43.0
923,7/12/2016,45.0
924,7/13/2016,45.0
925,7/14/2016,48.0
926,7/15/2016,50.0
927,7/16/2016,48.0
928,7/17/2016,47.0
929,7/18/2016,44.0
930,7/19/2016,45.0
931,7/20/2016,48.0
932,7/21/2016,52.0
933,7/22/2016,49.0
934,7/23/2016,48.0
935,7/24/2016,48.0
936,7/25/2016,50.0
937,7/26/2016,50.0
938,7/27/2016,48.0
939,7/28/2016,49.0
940,7/29/2016,48.0
941,7/30/2016,48.0
942,7/31/2016,48.0
943,8/1/2016,49.0
944,8/2/2016,49.0
945,8/3/2016,47.0
946,8/4/2016,49.0
947,8/5/2016,52.0
948,8/6/2016,48.0
949,8/7/2016,49.0
950,8/8/2016,51.0
951,8/9/2016,50.0
952,8/10/2016,52.0
953,8/11/2016,51.0
954,8/12/2016,53.0
955,8/13/2016,48.0
956,8/14/2016,48.0
957,8/15/2016,48.0
958,8/16/2016,48.0
959,8/17/2016,50.0
960,8/18/2016,51.0
961,8/19/2016,50.0
962,8/20/2016,48.0
963,8/21/2016,47.0
964,8/22/2016,47.0
965,8/23/2016,48.0
966,8/24/2016,47.0
967,8/25/2016,48.0
968,8/26/2016,50.0
969,8/27/2016,46.0
970,8/28/2016,44.0
971,8/29/2016,44.0
972,8/30/2016,48.0
973,8/31/2016,46.0
974,9/1/2016,47.0
975,9/2/2016,50.0
976,9/3/2016,47.0
977,9/4/2016,47.0
978,9/5/2016,48.0
979,9/6/2016,49.0
980,9/7/2016,46.0
981,9/8/2016,44.0
982,9/9/2016,47.0
983,9/10/2016,48.0
984,9/11/2016,47.0
985,9/12/2016,50.0
986,9/13/2016,50.0
987,9/14/2016,46.0
988,9/15/2016,42.0
989,9/16/2016,47.0
990,9/17/2016,49.0
991,9/18/2016,49.0
992,9/19/2016,51.0
993,9/20/2016,51.0
994,9/21/2016,52.0
995,9/22/2016,48.0
996,9/23/2016,48.0
997,9/24/2016,47.0
998,9/25/2016,47.0
999,9/26/2016,50.0
1000,9/27/2016,44.0
1001,9/28/2016,45.0
1002,9/29/2016,48.0
1003,9/30/2016,49.0
1004,10/1/2016,48.0
1005,10/2/2016,46.0
1006,10/3/2016,44.0
1007,10/4/2016,46.0
1008,10/5/2016,45.0
1009,10/6/2016,44.0
1010,10/7/2016,44.0
1011,10/8/2016,45.0
1012,10/9/2016,45.0
1013,10/10/2016,49.0
1014,10/11/2016,48.0
1015,10/12/2016,51.0
1016,10/13/2016,52.0
1017,10/14/2016,54.0
1018,10/15/2016,55.0
1019,10/16/2016,49.0
1020,10/17/2016,49.0
1021,10/18/2016,48.0
1022,10/19/2016,48.0
1023,10/20/2016,45.0
1024,10/21/2016,47.0
1025,10/22/2016,47.0
1026,10/23/2016,52.0
1027,10/24/2016,52.0
1028,10/25/2016,47.0
1029,10/26/2016,50.0
1030,10/27/2016,49.0
1031,10/28/2016,48.0
1032,10/29/2016,46.0
1033,10/30/2016,47.0
1034,10/31/2016,48.0
1035,11/1/2016,49.0
1036,11/2/2016,48.0
1037,11/3/2016,51.0
1038,11/4/2016,49.0
1039,11/5/2016,50.0
1040,11/6/2016,49.0
1041,11/7/2016,47.0
1042,11/8/2016,46.0
1043,11/9/2016,48.0
1044,11/10/2016,49.0
1045,11/11/2016,47.0
1046,11/12/2016,45.0
1047,11/13/2016,48.0
1048,11/14/2016,49.0
1049,11/15/2016,48.0
1050,11/16/2016,48.0
1051,11/17/2016,48.0
1052,11/18/2016,49.0
1053,11/19/2016,50.0
1054,11/20/2016,48.0
1055,11/21/2016,46.0
1056,11/22/2016,44.0
1057,11/23/2016,49.0
1058,11/24/2016,47.0
1059,11/25/2016,48.0
1060,11/26/2016,50.0
1061,11/27/2016,49.0
1062,11/28/2016,46.0
1063,11/29/2016,45.0
1064,11/30/2016,40.0
